Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Philippines,Blue Sky Resources,"SC 54A, PH","Signal Head 2, PH",2042,2022-08-04,Commercial,Original Gas In Place,0
Philippines,Blue Sky Resources,"SC 54A, PH","Signal Head 2, PH",2042,2022-08-04,Commercial,Field recovery factor,27
Philippines,Blue Sky Resources,"SC 54A, PH","Signal Head 2, PH",2042,2022-08-04,Commercial,Technical recoverable resources,
Philippines,Blue Sky Resources,"SC 54A, PH","Signal Head 2, PH",2042,2022-08-04,Commercial,2P Reserves,
Philippines,Blue Sky Resources,"SC 54A, PH","Signal Head 2, PH",2042,2022-08-04,Commercial,Discovered Resources,
Philippines,Blue Sky Resources,"SC 54A, PH","Signal Head 2, PH",2042,2022-08-04,Commercial,Production,
Philippines,Blue Sky Resources,"SC 54A, PH","Signal Head 2, PH",2042,2022-08-04,Uncertain,Original Gas In Place,0
Philippines,Blue Sky Resources,"SC 54A, PH","Signal Head 2, PH",2042,2022-08-04,Uncertain,Field recovery factor,27
Philippines,Blue Sky Resources,"SC 54A, PH","Signal Head 2, PH",2042,2022-08-04,Uncertain,Technical recoverable resources,
Philippines,Blue Sky Resources,"SC 54A, PH","Signal Head 2, PH",2042,2022-08-04,Uncertain,2P Reserves,
Philippines,Blue Sky Resources,"SC 54A, PH","Signal Head 2, PH",2042,2022-08-04,Uncertain,Discovered Resources,
Philippines,Blue Sky Resources,"SC 54A, PH","Signal Head 2, PH",2042,2022-08-04,Uncertain,Production,
Philippines,Blue Sky Resources,"SC 54A, PH","Yakal, PH",2047,2022-08-04,Commercial,Original Gas In Place,0.1335429
Philippines,Blue Sky Resources,"SC 54A, PH","Yakal, PH",2047,2022-08-04,Commercial,Field recovery factor,29
Philippines,Blue Sky Resources,"SC 54A, PH","Yakal, PH",2047,2022-08-04,Commercial,Technical recoverable resources,
Philippines,Blue Sky Resources,"SC 54A, PH","Yakal, PH",2047,2022-08-04,Commercial,2P Reserves,
Philippines,Blue Sky Resources,"SC 54A, PH","Yakal, PH",2047,2022-08-04,Commercial,Discovered Resources,
Philippines,Blue Sky Resources,"SC 54A, PH","Yakal, PH",2047,2022-08-04,Commercial,Production,
Philippines,Blue Sky Resources,"SC 54A, PH","Yakal, PH",2047,2022-08-04,Uncertain,Original Gas In Place,0.1335429
Philippines,Blue Sky Resources,"SC 54A, PH","Yakal, PH",2047,2022-08-04,Uncertain,Field recovery factor,29
